_key,abbreviation,bike,history_select/0/text,history_select/0/value,history_select/1/text,history_select/1/value,history_select/2/text,history_select/2/value,history_select/3/text,history_select/3/value,history_select/4/text,history_select/4/value,history_select/5/text,history_select/5/value,history_select/6/text,history_select/6/value,history_select/7/text,history_select/7/value,history_select/8/text,history_select/8/value,history_select/9/text,history_select/9/value,history_select/10/text,history_select/10/value,history_select/11/text,history_select/11/value,history_select/12/text,history_select/12/value,history_select/13/text,history_select/13/value,history_select/14/text,history_select/14/value,history_select/15/text,history_select/15/value,history_select/16/text,history_select/16/value,history_select/17/text,history_select/17/value,history_select/18/text,history_select/18/value,history_select/19/text,history_select/19/value,history_select/20/text,history_select/20/value,history_select/21/text,history_select/21/value,history_select/22/text,history_select/22/value,history_select/23/text,history_select/23/value,history_select/24/text,history_select/24/value,history_select/25/text,history_select/25/value,history_select/26/text,history_select/26/value,history_select/27/text,history_select/27/value,history_select/28/text,history_select/28/value,history_select/29/text,history_select/29/value,history_select/30/text,history_select/30/value,history_select/31/text,history_select/31/value,history_select/32/text,history_select/32/value,history_select/33/text,history_select/33/value,name,nationality,normalized_relative_url,pcs_points,pcs_ranking_position,riders/0/age,riders/0/nationality,riders/0/ranking_points,riders/0/ranking_position,riders/0/rider_name,riders/0/rider_url,riders/0/since,riders/0/until,riders/1/age,riders/1/nationality,riders/1/ranking_points,riders/1/ranking_position,riders/1/rider_name,riders/1/rider_url,riders/1/since,riders/1/until,riders/2/age,riders/2/nationality,riders/2/ranking_points,riders/2/ranking_position,riders/2/rider_name,riders/2/rider_url,riders/2/since,riders/2/until,riders/3/age,riders/3/nationality,riders/3/ranking_points,riders/3/ranking_position,riders/3/rider_name,riders/3/rider_url,riders/3/since,riders/3/until,riders/4/age,riders/4/nationality,riders/4/ranking_points,riders/4/ranking_position,riders/4/rider_name,riders/4/rider_url,riders/4/since,riders/4/until,riders/5/age,riders/5/nationality,riders/5/ranking_points,riders/5/ranking_position,riders/5/rider_name,riders/5/rider_url,riders/5/since,riders/5/until,riders/6/age,riders/6/nationality,riders/6/ranking_points,riders/6/ranking_position,riders/6/rider_name,riders/6/rider_url,riders/6/since,riders/6/until,riders/7/age,riders/7/nationality,riders/7/ranking_points,riders/7/ranking_position,riders/7/rider_name,riders/7/rider_url,riders/7/since,riders/7/until,riders/8/age,riders/8/nationality,riders/8/ranking_points,riders/8/ranking_position,riders/8/rider_name,riders/8/rider_url,riders/8/since,riders/8/until,riders/9/age,riders/9/nationality,riders/9/ranking_points,riders/9/ranking_position,riders/9/rider_name,riders/9/rider_url,riders/9/since,riders/9/until,riders/10/age,riders/10/nationality,riders/10/ranking_points,riders/10/ranking_position,riders/10/rider_name,riders/10/rider_url,riders/10/since,riders/10/until,riders/11/age,riders/11/nationality,riders/11/ranking_points,riders/11/ranking_position,riders/11/rider_name,riders/11/rider_url,riders/11/since,riders/11/until,riders/12/age,riders/12/nationality,riders/12/ranking_points,riders/12/ranking_position,riders/12/rider_name,riders/12/rider_url,riders/12/since,riders/12/until,riders/13/age,riders/13/nationality,riders/13/ranking_points,riders/13/ranking_position,riders/13/rider_name,riders/13/rider_url,riders/13/since,riders/13/until,riders/14/age,riders/14/nationality,riders/14/ranking_points,riders/14/ranking_position,riders/14/rider_name,riders/14/rider_url,riders/14/since,riders/14/until,riders/15/age,riders/15/nationality,riders/15/ranking_points,riders/15/ranking_position,riders/15/rider_name,riders/15/rider_url,riders/15/since,riders/15/until,riders/16/age,riders/16/nationality,riders/16/ranking_points,riders/16/ranking_position,riders/16/rider_name,riders/16/rider_url,riders/16/since,riders/16/until,riders/17/age,riders/17/nationality,riders/17/ranking_points,riders/17/ranking_position,riders/17/rider_name,riders/17/rider_url,riders/17/since,riders/17/until,riders/18/age,riders/18/nationality,riders/18/ranking_points,riders/18/ranking_position,riders/18/rider_name,riders/18/rider_url,riders/18/since,riders/18/until,riders/19/age,riders/19/nationality,riders/19/ranking_points,riders/19/ranking_position,riders/19/rider_name,riders/19/rider_url,riders/19/since,riders/19/until,riders/20/age,riders/20/nationality,riders/20/ranking_points,riders/20/ranking_position,riders/20/rider_name,riders/20/rider_url,riders/20/since,riders/20/until,riders/21/age,riders/21/nationality,riders/21/ranking_points,riders/21/ranking_position,riders/21/rider_name,riders/21/rider_url,riders/21/since,riders/21/until,riders/22/age,riders/22/nationality,riders/22/ranking_points,riders/22/ranking_position,riders/22/rider_name,riders/22/rider_url,riders/22/since,riders/22/until,riders/23/age,riders/23/nationality,riders/23/ranking_points,riders/23/ranking_position,riders/23/rider_name,riders/23/rider_url,riders/23/since,riders/23/until,riders/24/age,riders/24/nationality,riders/24/ranking_points,riders/24/ranking_position,riders/24/rider_name,riders/24/rider_url,riders/24/since,riders/24/until,riders/25/age,riders/25/nationality,riders/25/ranking_points,riders/25/ranking_position,riders/25/rider_name,riders/25/rider_url,riders/25/since,riders/25/until,riders/26/age,riders/26/nationality,riders/26/ranking_points,riders/26/ranking_position,riders/26/rider_name,riders/26/rider_url,riders/26/since,riders/26/until,riders/27/age,riders/27/nationality,riders/27/ranking_points,riders/27/ranking_position,riders/27/rider_name,riders/27/rider_url,riders/27/since,riders/27/until,riders/28/age,riders/28/nationality,riders/28/ranking_points,riders/28/ranking_position,riders/28/rider_name,riders/28/rider_url,riders/28/since,riders/28/until,status,uci_ranking_position,wins_count,riders/29/age,riders/29/nationality,riders/29/ranking_points,riders/29/ranking_position,riders/29/rider_name,riders/29/rider_url,riders/29/since,riders/29/until,history_select/34/text,history_select/34/value,history_select/35/text,history_select/35/value,history_select/36/text,history_select/36/value,history_select/37/text,history_select/37/value,history_select/38/text,history_select/38/value,history_select/39/text,history_select/39/value,history_select/40/text,history_select/40/value,history_select/41/text,history_select/41/value,history_select/42/text,history_select/42/value,history_select/43/text,history_select/43/value,history_select/44/text,history_select/44/value,history_select/45/text,history_select/45/value
ACT,ACT,BMC,2025 | AG2R Citroën Team,team/ag2r-citroen-team-2025/overview/,2024 | AG2R Citroën Team,team/ag2r-citroen-team-2024/overview/,2023 | AG2R Citroën Team,team/ag2r-citroen-team-2023/overview/,2022 | AG2R Citroën Team,team/ag2r-citroen-team-2022/overview/,2021 | AG2R Citroën Team,team/ag2r-citroen-team-2021/overview/,2020 | AG2R La Mondiale,team/ag2r-la-mondiale-2020/overview/,2019 | AG2R La Mondiale,team/ag2r-la-mondiale-2019/overview/,2018 | AG2R La Mondiale,team/ag2r-la-mondiale-2018/overview/,2017 | AG2R La Mondiale,team/ag2r-la-mondiale-2017/overview/,2016 | AG2R La Mondiale,team/ag2r-la-mondiale-2016/overview/,2015 | AG2R La Mondiale,team/ag2r-la-mondiale-2015/overview/,2014 | AG2R La Mondiale,team/ag2r-la-mondiale-2014/overview/,2013 | AG2R La Mondiale,team/ag2r-la-mondiale-2013/overview/,2012 | AG2R La Mondiale,team/ag2r-la-mondiale-2012/overview/,2011 | AG2R La Mondiale,team/ag2r-la-mondiale-2011/overview/,2010 | AG2R La Mondiale,team/ag2r-la-mondiale-2010/overview/,2009 | AG2R La Mondiale,team/ag2r-la-mondiale-2009/overview/,2008 | AG2R La Mondiale,team/ag2r-la-mondiale-2008/overview/,2007 | AG2R Prévoyance,team/ag2r-prevoyance-2007/overview/,2006 | AG2R Prévoyance,team/ag2r-prevoyance-2006/overview/,2005 | AG2R Prévoyance,team/ag2r-prevoyance-2005/overview/,2004 | AG2R Prévoyance,team/ag2r-prevoyance-2004/overview/,2003 | AG2R Prévoyance,team/ag2r-prevoyance-2003/overview/,2002 | AG2R Prévoyance,team/ag2r-prevoyance-2002/overview/,2001 | AG2R Prévoyance,team/ag2r-prevoyance-2001/overview/,2000 | AG2R Prevoyance,team/ag2r-prevoyance-2000/overview/,1999 | Casino - AG2R,team/casino-ag2r-1999/overview/,1998 | Casino - AG2R,team/casino-ag2r-1998/overview/,1997 | Casino - C'est votre équipe,team/casino-cest-votre-equipe-1997/overview/,1996 | Petit Casino - C'est votre équipe,team/petit-casino-cest-votre-equipe-1996/overview/,1995 | Chazal - MBK - König,team/chazal-mbk-konig-1995/overview/,1994 | Chazal - MBK - König,team/chazal-mbk-konig-1994/overview/,1993 | Chazal - Vetta - MBK,team/chazal-vetta-mbk-1993/overview/,1992 | Chazal - Vanille et Mûre - Vetta,team/chazal-vanille-et-mure-vetta-1992/overview/,AG2R Citroën Team,FR,team/ag2r-citroen-team-2023,1620,16,37,BE,453,125,VAN AVERMAET Greg,rider/greg-van-avermaet,01-01,12-31,32,BE,350,181,NAESEN Oliver,rider/oliver-naesen,01-01,12-31,27,FR,955,34,COSNEFROY Benoît,rider/benoit-cosnefroy,01-01,12-31,27,AU,893,39,O'CONNOR Ben,rider/ben-o-connor,01-01,12-31,29,FR,216,282,SARREAU Marc,rider/marc-sarreau,01-01,12-31,28,IT,367,168,VENDRAME Andrea,rider/andrea-vendrame,01-01,12-31,37,FR,99,496,CHEREL Mikaël,rider/mikael-cherel,01-01,12-31,36,CH,50,760,SCHÄR Michael,rider/michael-schar,01-01,12-31,29,FR,250,248,VENTURINI Clément,rider/clement-venturini,01-01,12-31,27,FR,250,249,PARET-PEINTRE Aurélien,rider/aurelien-paret-peintre,01-01,12-31,26,FR,228,266,GODON Dorian,rider/dorian-godon,01-01,12-31,27,FR,139,393,BONNAMOUR Franck,rider/franck-bonnamour,01-01,12-31,32,US,25,1077,WARBASSE Larry,rider/lawrence-warbasse,01-01,12-31,30,FR,283,225,BOUCHARD Geoffrey,rider/geoffrey-bouchard,01-01,12-31,29,FR,225,272,PETERS Nans,rider/nans-peters,01-01,12-31,25,BE,184,314,DEWULF Stan,rider/stan-dewulf,01-01,12-31,26,FR,117,437,TOUZÉ Damien,rider/damien-touze,01-01,12-31,30,BE,64,648,NAESEN Lawrence,rider/lawrence-naesen,01-01,12-31,25,AT,319,197,GALL Felix,rider/felix-gall,01-01,12-31,25,FR,226,269,BERTHET Clément,rider/clement-berthet,01-01,12-31,25,FI,88,540,HÄNNINEN Jaakko,rider/jaakko-hanninen,01-01,12-31,26,FR,54,726,PRODHOMME Nicolas,rider/nicolas-prodhomme,01-01,12-31,22,FR,61,667,LAPEIRA Paul,rider/paul-lapeira,01-01,12-31,21,FR,54,731,BAUDIN Alex,rider/alex-baudin,01-01,12-31,22,FR,45,810,RETAILLEAU Valentin,rider/valentin-retailleau,01-01,12-31,20,FR,53,741,TRONCHON Bastien,rider/bastien-tronchon,01-01,12-31,20,FR,61,668,GAUTHERAT Pierre,rider/pierre-gautherat,01-01,12-31,22,FR,36,903,PARET-PEINTRE Valentin,rider/valentin-paret-peintre,01-01,12-31,24,FR,41,849,RAUGEL Antoine,rider/antoine-raugel,01-01,12-31,WT,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,ADC,,2025 | Alpecin-Deceuninck,team/alpecin-deceuninck-2025/overview/,2024 | Alpecin-Deceuninck,team/alpecin-deceuninck-2024/overview/,2023 | Alpecin-Deceuninck,team/alpecin-deceuninck-2023/overview/,2022 | Alpecin-Deceuninck,team/alpecin-deceuninck-2022/overview/,2022 | Alpecin-Fenix,team/alpecin-fenix-2022/overview/,2021 | Alpecin-Fenix,team/alpecin-fenix-2021/overview/,2020 | Alpecin-Fenix,team/alpecin-fenix-2020/overview/,2019 | Corendon - Circus,team/corendon-circus-2019/overview/,2018 | Corendon - Circus,team/corendon-circus-2018/overview/,2017 | Beobank - Corendon,team/beobank-corendon-2017/overview/,2016 | Beobank - Corendon,team/beobank-corendon-2016/overview/,2015 | BKCP - Powerplus,team/bkcp-powerplus-2015/overview/,2014 | BKCP - Powerplus,team/bkcp-powerplus-2014/overview/,2013 | BKCP - Powerplus,team/bkcp-powerplus-2013/overview/,2012 | BKCP - Powerplus,team/bkcp-powerplus-2012/overview/,2011 | BKCP - Powerplus,team/bkcp-powerplus-2011/overview/,2010 | BKCP - Powerplus,team/bkcp-powerplus-2010/overview/,2009 | BKCP - Powerplus,team/bkcp-powerplus-2009/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpecin-Deceuninck,BE,team/alpecin-deceuninck-2023,1808,13,28,NL,1510.5,8,VAN DER POEL Mathieu,rider/mathieu-van-der-poel,01-01,12-31,25,BE,1708,5,PHILIPSEN Jasper,rider/jasper-philipsen,01-01,12-31,28,DK,334,188,KRAGH ANDERSEN Søren,rider/soren-kragh-andersen,01-01,12-31,32,IT,89,534,SBARAGLI Kristian,rider/kristian-sbaragli,01-01,12-31,28,IT,309,204,MARECZKO Jakub,rider/jakub-mareczko,01-01,12-31,32,CH,71,608,DILLIER Silvan,rider/silvan-dillier,01-01,12-31,31,BE,167,339,MEURISSE Xandro,rider/xandro-meurisse,01-01,12-31,31,BE,270,234,DE BONDT Dries,rider/dries-de-bondt,01-01,12-31,34,NL,88,537,SINKELDAM Ramon,rider/ramon-sinkeldam,01-01,12-31,30,BE,326,190,VERMEERSCH Gianni,rider/gianni-vermeersch,01-01,12-31,27,BE,678,68,HERMANS Quinten,rider/quinten-hermans,01-01,12-31,24,AU,467,118,GROVES Kaden,rider/kaden-groves,01-01,12-31,31,DE,60,672,KRIEGER Alexander,rider/alexander-krieger,01-01,12-31,30,NL,218,280,RIESEBEEK Oscar,rider/oscar-riesebeek,01-01,12-31,24,AU,338,187,STANNARD Robert,rider/robert-stannard,01-01,12-31,29,BE,70,614,RICKAERT Jonas,rider/jonas-rickaert,01-01,12-31,29,AT,10,1491,GOGL Michael,rider/michael-gogl,01-01,12-31,25,IT,387,152,OLDANI Stefano,rider/stefano-oldani,01-01,12-31,33,BE,95,513,JANSSENS Jimmy,rider/jimmy-janssens,01-01,12-31,26,IT,318,198,CONCI Nicola,rider/nicola-conci,01-01,12-31,26,BE,284,224,TAMINIAUX Lionel,rider/lionel-taminiaux,01-01,12-31,28,BE,54,725,PLANCKAERT Edward,rider/edward-planckaert,01-01,12-31,23,AT,137,398,BAYER Tobias,rider/tobias-bayer,01-01,12-31,27,BE,40,860,LEYSEN Senne,rider/senne-leysen,01-01,12-31,26,BE,58,694,GHYS Robbe,rider/robbe-ghys,01-01,12-31,22,BE,24,1112,VAN DEN BOSSCHE Fabio,rider/fabio-van-den-bossche,01-01,12-31,22,DE,39,874,BALLERSTEDT Maurice,rider/maurice-ballerstedt,01-01,12-31,22,AU,20,1198,PLOWRIGHT Jensen,rider/jensen-plowright,01-01,12-31,29,DE,55,720,OSBORNE Jason,rider/jason-osborne,01-01,12-31,WT,12,6,27,NZ,20,1196,GAZE Samuel,rider/samuel-gaze,01-01,12-31,,,,,,,,,,,,,,,,,,,,,,,,
ARK,ARK,,2025 | Team Arkéa Samsic,team/team-arkea-samsic-2025/overview/,2024 | Team Arkéa Samsic,team/team-arkea-samsic-2024/overview/,2023 | Team Arkéa Samsic,team/team-arkea-samsic-2023/overview/,2022 | Team Arkéa Samsic,team/team-arkea-samsic-2022/overview/,2021 | Team Arkéa Samsic,team/team-arkea-samsic-2021/overview/,2020 | Team Arkéa Samsic,team/team-arkea-samsic-2020/overview/,2019 | Team Arkéa Samsic,team/team-arkea-samsic-2019/overview/,2018 | Team Fortuneo - Samsic,team/fortuneo-samsic-2018/overview/,2017 | Fortuneo - Oscaro,team/fortuneo-oscaro-2017/overview/,2016 | Fortuneo - Vital Concept,team/fortuneo-vital-concept-2016/overview/,2015 | Bretagne - Séché Environnement,team/bretagne-seche-environnement-2015/overview/,2014 | Bretagne - Séché Environnement,team/bretagne-seche-environnement-2014/overview/,2013 | Bretagne - Séché Environnement,team/bretagne-seche-environnement-2013/overview/,2012 | Bretagne Schuller,team/bretagne-schuller-2012/overview/,2011 | Bretagne Schuller,team/bretagne-schuller-2011/overview/,2010 | Bretagne Schuller,team/bretagne-schuller-2010/overview/,2009 | Bretagne Schuller,team/bretagne-schuller-2009/overview/,2008 | Bretagne Armor Lux,team/bretagne-armor-lux-2008/overview/,2007 | Bretagne Armor Lux,team/bretagne-armor-lux-2007/overview/,2006 | Bretagne - Jean Floc'h,team/bretagne-jean-floc-h-2006/overview/,2005 | Bretagne - Jean Floc'h,team/bretagne-jean-floc-h-2005/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Arkéa Samsic,FR,team/team-arkea-samsic-2023,1401,19,32,FR,46,786,BOUHANNI Nacer,rider/nacer-bouhanni,01-01,12-31,31,FR,588,89,BARGUIL Warren,rider/warren-barguil,01-01,12-31,29,FR,636,76,HOFSTETTER Hugo,rider/hugo-hofstetter,01-01,12-31,36,FR,37,889,BOUET Maxime,rider/maxime-bouet,01-01,12-31,35,FR,186,311,EDET Nicolas,rider/nicolas-edet,01-01,12-31,36,FR,179,320,PICHON Laurent,rider/laurent-pichon,01-01,12-31,33,FR,191,307,DELAPLACE Anthony,rider/anthony-delaplace,01-01,12-31,29,BE,447,126,CAPIOT Amaury,rider/amaury-capiot,01-01,12-31,31,GB,295,213,MCLAY Daniel,rider/daniel-mclay,01-01,12-31,25,IT,666,69,MOZZATO Luca,rider/luca-mozzato,01-01,12-31,27,FR,176,324,GESBERT Élie,rider/elie-gesbert,01-01,12-31,24,FR,248,250,CHAMPOUSSIN Clément,rider/clement-champoussin,01-01,12-31,33,PL,96,507,OWSIAN Łukasz,rider/lukasz-owsian,01-01,12-31,27,BE,410,143,BIERMANS Jenthe,rider/jenthe-biermans,01-01,12-31,23,FR,476,112,LOUVEL Matis,rider/matis-louvel,01-01,12-31,28,ES,129,415,RODRÍGUEZ Cristián,rider/cristian-rodriguez,01-01,12-31,21,FR,650,71,VAUQUELIN Kévin,rider/kevin-vauquelin,01-01,12-31,29,FR,51,752,LEDANOIS Kévin,rider/kevin-ledanois,01-01,12-31,28,FR,130,412,RUSSO Clément,rider/clement-russo,01-01,12-31,25,FR,54,728,GUERNALEC Thibault,rider/thibault-guernalec,01-01,12-31,25,FR,107,471,GUGLIELMI Simon,rider/simon-guglielmi,01-01,12-31,25,NL,43,826,DEKKER David,rider/david-dekker,01-01,12-31,25,FR,18,1232,RIOU Alan,rider/alan-riou,01-01,12-31,25,LU,66,636,RIES Michel,rider/michel-ries,01-01,12-31,22,FR,85,552,GRONDIN Donavan,rider/donavan-grondin,01-01,12-31,22,FR,113,451,BARRÉ Louis,rider/louis-barre,01-01,12-31,21,IT,54,732,VERRE Alessandro,rider/alessandro-verre,01-01,12-31,21,FR,84,559,LE BERRE Mathis,rider/mathis-le-berre,01-01,12-31,20,UA,35,918,PONOMAR Andrii,rider/andrii-ponomar,01-01,12-31,WT,19,3,20,FR,56,711,COSTIOU Ewen,rider/ewen-costiou,01-01,12-31,,,,,,,,,,,,,,,,,,,,,,,,
AST,AST,,2024 | Astana Qazaqstan Team,team/astana-qazaqstan-team-2024/overview/,2023 | Astana Qazaqstan Team,team/astana-qazaqstan-team-2023/overview/,2022 | Astana Qazaqstan Team,team/astana-qazaqstan-team-2022/overview/,2021 | Astana - Premier Tech,team/astana-premier-tech-2021/overview/,2020 | Astana Pro Team,team/astana-pro-team-2020/overview/,2019 | Astana Pro Team,team/astana-pro-team-2019/overview/,2018 | Astana Pro Team,team/astana-pro-team-2018/overview/,2017 | Astana Pro Team,team/astana-pro-team-2017/overview/,2016 | Astana Pro Team,team/astana-pro-team-2016/overview/,2015 | Astana Pro Team,team/astana-pro-team-2015/overview/,2014 | Astana Pro Team,team/astana-pro-team-2014/overview/,2013 | Astana Pro Team,team/astana-pro-team-2013/overview/,2012 | Astana Pro Team,team/astana-pro-team-2012/overview/,2011 | Pro Team Astana,team/pro-team-astana-2011/overview/,2010 | Astana,team/astana-pro-team-2010/overview/,2009 | Astana,team/astana-pro-team-2009/overview/,2008 | Astana,team/astana-2008/overview/,2007 | Astana,team/astana-2007/overview/,2006 | Würth Team,team/wurth-team-2006/overview/,2006 | Astana - Würth Team,team/astana-wurth-team-2006/overview/,2006 | Astana,team/astana-2006/overview/,2006 | Liberty Seguros - Würth,team/liberty-seguros-wurth-2006/overview/,,,,,,,,,,,,,,,,,,,,,,,,,Astana Qazaqstan Team,KZ,team/astana-qazaqstan-team-2023,560,28,37,GB,362,172,CAVENDISH Mark,rider/mark-cavendish,01-01,12-31,39,ES,372,160,SÁNCHEZ Luis León,rider/luis-leon-sanchez,01-01,12-31,30,KZ,477,111,LUTSENKO Alexey,rider/aleksey-lutsenko,01-01,12-31,32,IT,93,521,FELLINE Fabio,rider/fabio-felline,01-01,12-31,33,ES,170,333,DE LA CRUZ David,rider/david-de-la-cruz,01-01,12-31,28,IT,39,871,MOSCON Gianni,rider/gianni-moscon,01-01,12-31,36,KZ,179,321,ZEITS Andrey,rider/andrey-zeits,01-01,12-31,31,US,114,448,DOMBROWSKI Joe,rider/joe-dombrowski,01-01,12-31,27,NL,124,425,BOL Cees,rider/cees-bol,01-01,12-31,36,IT,25,1079,BOARO Manuele,rider/manuele-boaro,01-01,12-31,37,KZ,70,612,GRUZDEV Dmitriy,rider/dmitriy-gruzdev,01-01,12-31,27,IT,190,308,VELASCO Simone,rider/simone-velasco,01-01,12-31,26,KZ,51,753,GIDICH Yevgeniy,rider/yevgeniy-gidich,01-01,12-31,29,EE,49,766,LAAS Martin,rider/martin-laas,01-01,12-31,24,IT,362,174,BATTISTELLA Samuele,rider/samuele-battistella,01-01,12-31,27,BY,46,788,RIABUSHENKO Alexandr,rider/alexandr-riabushenko,01-01,12-31,29,IT,20,1191,MARTINELLI Davide,rider/davide-martinelli,01-01,12-31,24,KZ,135,402,PRONSKIY Vadim,rider/vadim-pronskiy,01-01,12-31,23,KZ,179,322,FEDOROV Yevgeniy,rider/yevgeniy-fedorov,01-01,12-31,29,IT,30,980,BASSO Leonardo,rider/leonardo-basso,01-01,12-31,25,IT,166,342,SCARONI Christian,rider/christian-scaroni,01-01,12-31,25,CO,131,411,TEJADA Harold,rider/harold-tejada,01-01,12-31,30,IT,45,801,NIBALI Antonio,rider/antonio-nibali,01-01,12-31,26,KZ,47,778,NATAROV Yuriy,rider/yuriy-natarov,01-01,12-31,23,KZ,100,494,CHZHAN Igor,rider/igor-chzhan,01-01,12-31,22,RU,116,444,SYRITSA Gleb,rider/gleb-syritsa,01-01,12-31,24,ES,19,1221,ROMO Javier,rider/javier-romo,01-01,12-31,22,KZ,82,567,BRUSSENSKIY Gleb,rider/gleb-brussenskiy,01-01,12-31,20,IT,0,,GAROFOLI Gianmarco,rider/gianmarco-garofoli,01-01,12-31,WT,29,1,23,KZ,4,1972,NURLYKHASSYM Nurbergen,rider/nurbergen-nurlykhassym,01-01,12-31,,,,,,,,,,,,,,,,,,,,,,,,
